song,Days_on_chart,Average_rank,Best_rank,Rank_volatility
Dial Drunk,24,24.125,3,13.879332461081024
Dial Drunk (with Post Malone),35,32.8,4,13.564226306506306
Did It First (with Central Cee),17,38.64705882352941,28,6.382996714617947
Die For You,35,43.97142857142857,33,4.7433279102193175
Die With A Smile,103,3.466019417475728,1,3.6348410272991187
Died and Came Back,1,14.0,14,
Diet Pepsi,29,38.86206896551724,26,6.127946159842709
Disco,6,41.333333333333336,37,5.240865068542279
Disease,3,28.666666666666668,16,13.576941236277534
Disturbia,1,44.0,44,
Do They Know It's Christmas? - 1984 Version,4,41.5,39,3.785938897200183
Do You Hear What I Hear? - Remastered 2006,2,48.0,48,0.0
Doctor (Work It Out) [feat. Miley Cyrus],1,45.0,45,
Don't Understand,1,32.0,32,
Don’t Blame Me,6,46.833333333333336,45,2.4832774042918886
Don’t Smile,15,30.8,19,11.626324809303608
Doomsday (with Juice WRLD & Cordae),7,39.285714285714285,28,6.524678426668135
Down Bad,49,19.79591836734694,2,14.209708523630265
Dreams - 2004 Remaster,12,44.0,38,3.5161962919661303
Drew A Picasso,7,28.428571428571427,16,8.323804075404123
Drugs You Should Try It,1,30.0,30,
Dumb & Poetic,14,30.285714285714285,16,12.079407597729613
ETA,3,32.666666666666664,30,4.618802153517007
East Side of Sorrow,22,23.636363636363637,3,13.89945341352692
El Azul,70,30.84285714285714,21,5.867216001008015
El Dorado,8,27.625,15,9.62047667366703
El Gordo Trae El Mando,32,43.0625,31,6.405327923412788
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),7,22.285714285714285,9,11.190982764623277
Ella Baila Sola,170,18.96470588235294,1,15.256347643001167
Empire Now,1,26.0,26,
Enchanted,1,35.0,35,
Enchanted (Taylor's Version),11,21.363636363636363,5,17.001604202384712
End of Beginning,148,25.39864864864865,3,16.235821596806595
Endless Fashion (feat. Nicki Minaj),7,15.142857142857142,6,7.358183005529092
Enough (Miami),5,33.0,28,4.898979485566356
Enough Is Enough,8,34.75,28,3.8078865529319543
Espresso,226,7.946902654867257,1,6.22516856776975
Evergreen,55,43.07272727272727,32,5.583887353788396
Everybody (feat. Lil Uzi Vert),30,35.3,23,8.554692199061849
Everyday Hustle,3,38.333333333333336,24,12.423096769056148
Evil,4,29.0,15,9.626352718795768
Evil Ways (feat. J. Cole),4,27.0,5,18.7794213613377
FE!N,3,2.3333333333333335,2,0.5773502691896258
FE!N (feat. Playboi Carti),232,31.57758620689655,2,13.33786775411656
FIELD TRIP,8,23.5,15,9.665845613735584
FINA,15,16.933333333333334,2,9.176574731866122
FLAMENCO,2,31.0,27,5.656854249492381
FRIED,3,45.0,45,0.0
FTCU,54,18.796296296296298,6,10.427430497417694
FUK SUMN,17,28.647058823529413,2,16.58290225077696
Fallin 4 U,1,48.0,48,
Family Matters,15,18.066666666666666,5,13.019033685156442
Fare Well,1,35.0,35,
Fast Car,184,20.820652173913043,3,13.051198366713981
Father Stretch My Hands Pt. 1,39,38.15384615384615,24,9.260949313447021
Favorite Song,2,50.0,50,0.0
Favorite Song (feat. Future) [Toxic Version],4,41.5,34,5.972157622389639
Fear Of Heights,7,11.571428571428571,5,4.859943170351646
Fear and Friday's,15,23.8,8,12.013088100662783
Fear and Friday's (Poem),6,31.0,9,13.870832707519762
Feather,121,34.6198347107438,19,8.026265422917337
Feel It - From The Original Series “Invincible”,4,36.5,32,6.60807586719967
Feliz Navidad,34,20.38235294117647,8,9.085501957022064
Femininomenon,12,43.166666666666664,41,2.5166114784235845
Fever,1,19.0,19,
Finer Things (Feat. Hank Williams Jr.),5,25.6,14,8.502940667792526
Fire Alarm,1,28.0,28,
Firework,3,20.0,18,3.4641016151377544
First Person Shooter (feat. J. Cole),138,27.079710144927535,1,14.148359681150163
Five Nights at Freddy's,1,43.0,43,
Flooded The Face,27,27.40740740740741,2,14.468159362117742
Florida!!! (feat. Florence + The Machine),28,20.357142857142858,8,9.851543536568778
Flowers,76,29.157894736842106,14,9.758487084350657
Foolish One (Taylor’s Version) (From The Vault),7,19.0,13,8.34665601703261
Forever,7,19.857142857142858,3,10.399175791516226
Fortnight (feat. Post Malone),103,18.95145631067961,1,13.098704202322276
Fortunate Son,4,37.25,30,8.845903006477068
Fresh Out The Slammer,18,26.5,14,11.84830591017874
Fried (She a Vibe),4,36.5,21,11.0
From The Start,24,44.833333333333336,30,5.961227380670692
Fuel,8,24.125,16,11.10260587172476
GIRLS,2,38.5,36,3.5355339059327378
GOD'S COUNTRY,8,20.875,11,5.514591035218685
GOOD (DON'T DIE),3,36.333333333333336,29,7.023769168568491
